date,review,rating,isEdited,userName,title,developerResponse
2021-02-21 04:17:21,This app has all the edit functions I never thought of but am so grateful for now that I have them. They seem so natural and intuitive and make me wonder why WhatsApp never thought of them! I would have given the app 5 stars but there’s still a lot of work to do with the photo and video upload and download functions. For work I have that needs video and photo upload and download I have to ( reluctantly) use WhatsApp still as otherwise work gets disrupted. I am so happy there is an alternative to the aggressive and arrogant invasive ness of FB/WA. As soon as Telgram developers fix the video and photo upload/download glitches it’s goodbye to WhatsApp for ever from me!,4,False,Bratatii,Great edit functions,
2022-09-26 12:26:28,"I think having volunteer support people is not viable because there is no one we can contact for bugs to be fixed! There is no way for me to report a bug!  

Ever since premium became available and the most recent updates, I have had more issues in telegram than ever. Why do messages not send at all? Why are people receiving my messages hours or a day later?
This includes text messages, voice notes and scheduled messages!! Basically the whole use of the app! 

Even when both people are connected to the internet (and other internet-based apps work on their phone) and the app is showing the 1 tick that it is sent. When it’s actually not sent?! When one person sends a voice note or message - sometimes it just disappears into the abyss and never gets delivered at all! Or someone opens up their phone in the morning and suddenly there are heaps of messages from the day before that are only arriving on app open the next day. Last active time is also inaccurate at times. 

It makes no sense that an ‘instant message’ is not being delivered to the receiver either at all or in a delayed manner. This isn’t good enough and frankly quite upsetting when you rely on the app to communicate. It is like missing entire days and chunks of conversations with people.
Likely will be switching to whatsapp in the very near future.",1,False,Little_Firefly,PLEASE FIX YOUR APP,
2021-05-11 00:39:30,"Telegram is the most impressive Messaging app I’ve ever used. Coming from Kik and Discord, I obviously can’t compare it to Whatsapp or Viber, but in my experience Telegram has been everything you could want.

It’s performant and battery conscious, even on my crappy iPhone5S. 

It’s flexible. You can create group chats, group your chats, make secret chats, archive chats, all kinds of stuff.

It’s powerful. It’s got full integration allowing you to send files of any size and then, whatever they are, audio or picture or video, you can view or hear them in app. If they’re not audiovisual, it’s still a great fileshare service for moving documents or zips between phones and computers. 

You get your own seemingly unlimited cloud storage, there’s a million features I don’t use or need that stay out of my way but are there if I need them, the size of the app is still small regardless of that. 

The devs never stop squashing bugs and adding functionality where it’s needed, and they listen to users on what they should add. 

I hate that Telegram has a bit of a stigma. As far as I’m concerned, it’s just THE best message app.",5,False,Gila99,It’s perfect.,
2023-06-14 19:31:47,"Two girls???? They could be men are using my number and email address to scam people all over the world, I received codes from telegram, WhatsApp, and Facebook   ,  I was curious about telegram, I tried to log in, and once it opened up to me and I was in shock, 100s of messages all over the world, I read one, it goes something like this) I not sending you money! I looked at the pictures mostly old men !! I tried to worn as many as I could, informing them that these people are scammers!   I’m lock out of telegram now, but I’m going to the Apple Store and the federal police to inform them! And hopefully get the phone fixed!!",5,False,My burwood,Telegram using my stolen account to scam,
2023-03-26 05:56:08,"Telegram is a great app for chatting, I love that you can edit messages, delete them and schedule them. However, I have been using it for 3 years and the quality of the calls hasn’t really improved. Also I don’t get the point of paying for premium it seems kind of reduntant and the last thing I want to pay for is a messaging app",4,False,sashilu,Good app but some glitches,
2020-09-26 08:32:21,"Personally, I value the stability this app offers in terms of call quality and all matters surrounding privacy (and stickers!). That being said, the search function is an absolute deal breaker for me. Having parents of asian origin who can only type in chinese, not supporting asian languages in the search function severely limits its use for me. I hardly think I am the only one having this issue, (as I see similar posts online), so I don’t see why the devs have been neglecting this issue for several years. As a mere consumer of this product one can only hope this review is seen by one of them, otherwise I’ll probably have to look elsewhere for a good messaging app.",2,False,naufylolcakes,Search function does not support asian languages,
2024-01-07 00:21:48,"I’m afraid some Telegram users found your messages annoying and forwarded them to our team of moderators for inspection. The moderators have confirmed the report and your account is now limited until 10 Jan 2024, 00:13 UTC.

While the account is limited, you will not be able to do certain things on Telegram, like writing to strangers who haven’t contacted you first or adding them to groups and channels.

Your account will be automatically released on 10 Jan 2024, 00:13 UTC. Please note that if you repeat what got you limited and users report you again, the limitations will last longer next time. Subscribers of Telegram Premium have reduced times for initial limitations.",1,False,jasonaustralia,You must buy premium to use or block you always,
2018-01-21 21:28:59,"Channels, bots and individual threads must be segregated as the list of chats now is a complete mess and it’s difficult to navigate through hundreds of channels to locate an individual who texted you. Sometimes I can’t answer because I don’t see who texted me until I scroll all the way down the list. As someone mentioned before, would be nice to see Read and Unread messages at the top.
All the rest seems ok, much better than whatsapp which I’m trying to get rid of. Thanks Pavel for the great app!",5,False,•༄ᏝᏬχ๛҉࿐,channels and individual threads must be segregated,
2020-09-23 20:31:27,"Please allow Search 1 Contact/Group, then force/long press to Pin 📍.
Now it is impossible. 
I have already All Pin 📍 full. 

Here are my desired Steps
1. Yes All Pins are full 
2. Search the Contact/Group I want to pin
3. force/long press to Pin 📍
4. Ask me which old Pin 📍 to replace 
5. I quick view All old Pins with a Pop up small Window
6. Choose the old one I do not want 
7. Replace with new Contact/Group as Pin 📍

Why it is Important?
Now I have removed the old pin 📍 myself.
I find the Contact I want to pin by Search. 
I cannot force/long press to Pin 📍.

I have so many messages above that Contact/Group.

I have to manually scroll through All, then find, then Pin. Too hard.

I do NOT want to send messages to disturb him/her just to Pin 📍 him/her

Thank you very much🏖🌈🌸🌞❤️♻️♾ 
Best Regards🌞🏖🌌🛸🚴‍♀️❤️♻️♾🌸🦄️🦋🐳🐬🧸👫👩‍🚀
Tai",5,False,AliensKillDevilsRemoveNuclear,"Please allow Search 1 Contact/Group, then force/long press to Pin",
2022-04-21 07:51:57,"Telegram's base functions are great, but the app is severely let down by a lack of an effective spam filtering strategy. Every 1-2 days I get included in spam conversations along with hundreds of other people. 

When hundreds of unrelated people, who are not even in each others contacts lists, are being included in a conversation, surely that's a red flag that it's a spam conversation, and surely this is something that a basic algorithm could detect and prevent? But no, apparently not. Either that or Telegrams developers just don't care about the pervasive spam problem. Only 2-stars from me until the spam issue is fixed 😒",2,False,_JONS_,SPAM SPAM SPAM,
